data_set;fs_method;learner;ensemble_model_name;positive_class;type;value;ci_low;ci_up;p_value
development;mrmr;glm;ensemble.1.1;0;offset;-6.55535939505558e-05;-0.000230721278515517;-2.99090721162728e-05;3.65788670791267e-09
development;mrmr;glm;ensemble.1.1;0;slope;1.00008687030296;1.00004052477776;1.0002611227114;2.3514571998216e-07
development;mrmr;glm;ensemble.1.1;1;offset;0.00487869370242906;-0.00216844983367917;0.0134200395232073;0.99999999999999
development;mrmr;glm;ensemble.1.1;1;slope;1.23835774735694;1.13685828296628;1.33530526531349;7.10315610661292e-08
development;mrmr;glm;ensemble.1.1;2;offset;-0.00458427728729237;-0.0139769824555446;0.00156102683408944;0.99999999999999
development;mrmr;glm;ensemble.1.1;2;slope;0.624014375207176;0.474535314946616;0.763077897619869;2.2519593445411e-05
validation;mrmr;glm;ensemble.1.1;0;offset;-6.1158767543685e-05;-0.000234633383003853;-2.73528375583877e-05;4.91002235746285e-15
validation;mrmr;glm;ensemble.1.1;0;slope;1.00009050980624;1.00003734262924;1.00026628025464;5.03174175352767e-15
validation;mrmr;glm;ensemble.1.1;1;offset;0.00396231118083349;-0.0336167359239468;0.0355862860100997;0.99999999999999
validation;mrmr;glm;ensemble.1.1;1;slope;1.26760710994416;0.839828228550563;1.56844611645228;9.90519155644198e-14
validation;mrmr;glm;ensemble.1.1;2;offset;-0.00262162700233747;-0.0342609168656335;0.0308374616839148;0.99999999999999
validation;mrmr;glm;ensemble.1.1;2;slope;0.578235756639785;0.0958678830467698;1.1460801090423;9.99999524581248e-14
