data_set;fs_method;learner;ensemble_model_name;positive_class;expected;frequency
development;mrmr;xgboost_tree;ensemble.1.1;0;0;0.161926793189186
development;mrmr;xgboost_tree;ensemble.1.1;0;0.02;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;0;0.07;0.0537604456824513
development;mrmr;xgboost_tree;ensemble.1.1;0;0.085;0.053781512605042
development;mrmr;xgboost_tree;ensemble.1.1;0;0.12;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;0;0.31;0.0541899441340782
development;mrmr;xgboost_tree;ensemble.1.1;0;0.315;0.0535911602209945
development;mrmr;xgboost_tree;ensemble.1.1;0;0.33;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;0;0.335;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;0;0.365;0.0464088397790055
development;mrmr;xgboost_tree;ensemble.1.1;0;0.375;0.0458100558659218
development;mrmr;xgboost_tree;ensemble.1.1;0;0.845;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;0;0.87;0.0052924791086351
development;mrmr;xgboost_tree;ensemble.1.1;0;0.88;0.046218487394958
development;mrmr;xgboost_tree;ensemble.1.1;0;0.905;0.00167130919220056
development;mrmr;xgboost_tree;ensemble.1.1;0;0.91;0.0392757660167131
development;mrmr;xgboost_tree;ensemble.1.1;0;0.97;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;0;0.995;0.138073206810814
development;mrmr;xgboost_tree;ensemble.1.1;1;0;0.138073206810814
development;mrmr;xgboost_tree;ensemble.1.1;1;0.01;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;1;0.045;0.0392757660167131
development;mrmr;xgboost_tree;ensemble.1.1;1;0.05;0.00167130919220056
development;mrmr;xgboost_tree;ensemble.1.1;1;0.055;0.046218487394958
development;mrmr;xgboost_tree;ensemble.1.1;1;0.07;0.0052924791086351
development;mrmr;xgboost_tree;ensemble.1.1;1;0.085;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;1;0.305;0.0458100558659218
development;mrmr;xgboost_tree;ensemble.1.1;1;0.315;0.0464088397790055
development;mrmr;xgboost_tree;ensemble.1.1;1;0.33;0.1
development;mrmr;xgboost_tree;ensemble.1.1;1;0.355;0.0535911602209945
development;mrmr;xgboost_tree;ensemble.1.1;1;0.36;0.0541899441340782
development;mrmr;xgboost_tree;ensemble.1.1;1;0.695;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;1;0.715;0.053781512605042
development;mrmr;xgboost_tree;ensemble.1.1;1;0.73;0.0537604456824513
development;mrmr;xgboost_tree;ensemble.1.1;1;0.755;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;1;0.765;0.107994208919523
development;mrmr;xgboost_tree;ensemble.1.1;1;0.77;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;2;0;0.138073206810814
development;mrmr;xgboost_tree;ensemble.1.1;2;0.01;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;2;0.035;0.0392757660167131
development;mrmr;xgboost_tree;ensemble.1.1;2;0.04;0.00167130919220056
development;mrmr;xgboost_tree;ensemble.1.1;2;0.055;0.0515109665035931
development;mrmr;xgboost_tree;ensemble.1.1;2;0.065;0.0460674157303371
development;mrmr;xgboost_tree;ensemble.1.1;2;0.175;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;2;0.19;0.053781512605042
development;mrmr;xgboost_tree;ensemble.1.1;2;0.195;0.0537604456824513
development;mrmr;xgboost_tree;ensemble.1.1;2;0.215;0.0539325842696629
development;mrmr;xgboost_tree;ensemble.1.1;2;0.225;0.107865168539326
development;mrmr;xgboost_tree;ensemble.1.1;2;0.23;0.0540616246498599
development;mrmr;xgboost_tree;ensemble.1.1;2;0.315;0.0922188956449273
development;mrmr;xgboost_tree;ensemble.1.1;2;0.32;0.0541899441340782
development;mrmr;xgboost_tree;ensemble.1.1;2;0.325;0.0535911602209945
development;mrmr;xgboost_tree;ensemble.1.1;2;0.33;0.1
validation;mrmr;xgboost_tree;ensemble.1.1;0;0;0.159817073170732
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.02;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.07;0.0552631578947368
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.085;0.055
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.12;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.31;0.0512820512820513
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.315;0.0571428571428571
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.33;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.335;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.365;0.0428571428571428
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.375;0.0487179487179487
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.845;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.87;0.00789473684210526
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.88;0.045
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.905;0.00263157894736842
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.91;0.0342105263157895
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.97;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;0;0.995;0.140182926829268
validation;mrmr;xgboost_tree;ensemble.1.1;1;0;0.140182926829268
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.01;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.045;0.0342105263157895
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.05;0.00263157894736842
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.055;0.045
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.07;0.00789473684210526
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.085;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.305;0.0487179487179487
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.315;0.0428571428571428
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.33;0.1
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.355;0.0571428571428571
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.36;0.0512820512820513
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.695;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.715;0.055
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.73;0.0552631578947368
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.755;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.765;0.106158536585366
validation;mrmr;xgboost_tree;ensemble.1.1;1;0.77;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;2;0;0.140182926829268
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.01;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.035;0.0342105263157895
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.04;0.00263157894736842
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.055;0.0528947368421053
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.065;0.0463414634146341
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.175;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.19;0.055
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.195;0.0552631578947368
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.215;0.0536585365853659
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.225;0.107317073170732
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.23;0.0525
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.315;0.0915750915750916
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.32;0.0512820512820513
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.325;0.0571428571428571
validation;mrmr;xgboost_tree;ensemble.1.1;2;0.33;0.1
