data_set;fs_method;learner;ensemble_model_name;positive_class;feature_x_value;probability;novelty
development;mrmr;xgboost_tree;ensemble.1.1;0;0;0.898254185914993;0.490987954585687
development;mrmr;xgboost_tree;ensemble.1.1;1;0;0.0531825087964535;0.490987954585687
development;mrmr;xgboost_tree;ensemble.1.1;2;0;0.0485633164644241;0.490987954585687
development;mrmr;xgboost_tree;ensemble.1.1;0;0.069397104947768;0.898254185914993;0.501446799399084
development;mrmr;xgboost_tree;ensemble.1.1;1;0.069397104947768;0.0531825087964535;0.501446799399084
development;mrmr;xgboost_tree;ensemble.1.1;2;0.069397104947768;0.0485633164644241;0.501446799399084
development;mrmr;xgboost_tree;ensemble.1.1;0;0.360058309037901;0.898254185914993;0.524115199436797
development;mrmr;xgboost_tree;ensemble.1.1;1;0.360058309037901;0.0531825087964535;0.524115199436797
development;mrmr;xgboost_tree;ensemble.1.1;2;0.360058309037901;0.0485633164644241;0.524115199436797
development;mrmr;xgboost_tree;ensemble.1.1;0;0.845241636846324;0.898254185914993;0.613546944617797
development;mrmr;xgboost_tree;ensemble.1.1;1;0.845241636846324;0.0531825087964535;0.613546944617797
development;mrmr;xgboost_tree;ensemble.1.1;2;0.845241636846324;0.0485633164644241;0.613546944617797
development;mrmr;xgboost_tree;ensemble.1.1;0;1.49013166282756;0.898254185914993;0.659972510773413
development;mrmr;xgboost_tree;ensemble.1.1;1;1.49013166282756;0.0531825087964535;0.659972510773413
development;mrmr;xgboost_tree;ensemble.1.1;2;1.49013166282756;0.0485633164644241;0.659972510773413
development;mrmr;xgboost_tree;ensemble.1.1;0;2.25991296143614;0.898254185914993;0.683505305627638
development;mrmr;xgboost_tree;ensemble.1.1;1;2.25991296143614;0.0531825087964535;0.683505305627638
development;mrmr;xgboost_tree;ensemble.1.1;2;2.25991296143614;0.0485633164644241;0.683505305627638
development;mrmr;xgboost_tree;ensemble.1.1;0;3.11977010712656;0.898254185914993;0.671454103742321
development;mrmr;xgboost_tree;ensemble.1.1;1;3.11977010712656;0.0531825087964535;0.671454103742321
development;mrmr;xgboost_tree;ensemble.1.1;2;3.11977010712656;0.0485633164644241;0.671454103742321
development;mrmr;xgboost_tree;ensemble.1.1;0;4.03488767435337;0.898254185914993;0.63392929703063
development;mrmr;xgboost_tree;ensemble.1.1;1;4.03488767435337;0.0531825087964535;0.63392929703063
development;mrmr;xgboost_tree;ensemble.1.1;2;4.03488767435337;0.0485633164644241;0.63392929703063
development;mrmr;xgboost_tree;ensemble.1.1;0;4.97045023757108;0.898254185914993;0.614658680015234
