data_set;fs_method;learner;ensemble_model_name;observed_outcome;expected_outcome;count
development;mrmr;xgboost_tree;ensemble.1.1;0;0;1216
development;mrmr;xgboost_tree;ensemble.1.1;1;1;182
development;mrmr;xgboost_tree;ensemble.1.1;2;1;160
development;mrmr;xgboost_tree;ensemble.1.1;1;0;0
development;mrmr;xgboost_tree;ensemble.1.1;2;0;0
development;mrmr;xgboost_tree;ensemble.1.1;0;1;0
development;mrmr;xgboost_tree;ensemble.1.1;0;2;0
development;mrmr;xgboost_tree;ensemble.1.1;1;2;0
development;mrmr;xgboost_tree;ensemble.1.1;2;2;0
validation;mrmr;xgboost_tree;ensemble.1.1;0;0;1216
validation;mrmr;xgboost_tree;ensemble.1.1;1;1;182
validation;mrmr;xgboost_tree;ensemble.1.1;2;1;160
validation;mrmr;xgboost_tree;ensemble.1.1;1;0;0
validation;mrmr;xgboost_tree;ensemble.1.1;2;0;0
validation;mrmr;xgboost_tree;ensemble.1.1;0;1;0
validation;mrmr;xgboost_tree;ensemble.1.1;0;2;0
validation;mrmr;xgboost_tree;ensemble.1.1;1;2;0
validation;mrmr;xgboost_tree;ensemble.1.1;2;2;0
